Salade Nicolise,50 DH
Salade Marocaine,50 DH
César Poulet ou Gambas,60 DH
Salade Asiatique,60 DH
Salade Exotique,60 DH
Avocado,60 DH
Salade Pecheur,80 DH
Estrella,150 DH
Salade Familiale,80 DH
Eminée de Poulet,80 DH
Escalope de Poulet,75 DH
Filet de Poulet Grillé à la Crime,85 DH
Emincé de Boeuf,95 DH
Filet de Boeuf Grillé à la Crime,120 DH
Entrecôte,120 DH
Cordon Bleu,80 DH
Brochettes de Poulet,80 DH
Brochettes Kefta,80 DH
Brochettes Saucisses,80 DH
Brochettes de Crevettes Grillé,95 DH
Brochettes d’agneau,120 DH
Grillardes Mixte,130 DH
Dourade au Four ou Loup Bar,130 DH
Pavé de saumon,130 DH
Tarine Pil Pil,70 DH
Tarine de Poisson,80 DH
Tagine de Viande hachée,70 DH
Tagine de Boeuf au prune,80 DH
Tagine Coquelet,80 DH
Tagine de Poulet,80 DH
Carbonara,60 DH
Al Pesto,50 DH
Solognaise,60 DH
Poulet Crème Champignon,60 DH
Saumon,80 DH
Tuna,60 DH
Printemps,50 DH
Fruits de Mer,80 DH
Lasagne Bolognaise,60 DH
Lasagne Fruits de Mer,80 DH
Pastichio Poulet,60 DH
Pastichio Vlande Hachée,65 DH
Pastichio Tenders,60 DH
Pastichio Cordon Bleu,60 DH
Pastichio Nugget,60 DH
Pastichio charcuterie,60 DH
Pastichio Mixte,70 DH
Pastichio Fruit de mer,70 DH
Pizza Estrella,90 DH
Pizza Quatre Saisons,80 DH
Pizza Pepperoni,75 DH
Pizza Végétarienne,70 DH
Pizza Altona,75 DH
Pizza Calzon Poulet,50 DH
Pizza Oriental,80 DH
Pizza Bolognaise,80 DH
Pizza Fermière,80 DH
Pizza Margaretha,60 DH
Pizza Chèvre Miel,75 DH
Pizza 4 Fromages,70 DH
Pizza Norvégienne,80 DH
Pizza Charcuterie,70 DH
Pizza Fruits de Mer,80 DH
Cheese Burger,40 DH
Egg Burger,45 DH
Cordon Bleu Burger,40 DH
Double Burger,60 DH
Chicken Burger,40 DH
Fish Burger,40 DH
Avocat Burger,45 DH
Sandwich Thon,40 DH
Sandwich Poulet,45 DH
Sandwich Mixte,50 DH
Sandwich Americain steack,45 DH
Sandwich Cordon Bleu Steack,50 DH
Sandwich Fruits de Mer,60 DH
Tacos 1 Viande,50 DH
Tacos Fruits de Mer,60 DH
Tacos 2 Viande,60 DH
Tacos 3 Viandes & 2 Galette,70 DH
Menu Kids Mini Tacos,40 DH
Menu Kids Mini Burger,40 DH
Menu Kids Nuggets Frite,40 DH
Spaghetti Bolognaise,40 DH
Sodas,18 DH
Orangina,20 DH
Eau Minerale 33cl,03 DH
Eau Minerale 50cl,09 DH
Eau Minerale 1.5L,15 DH
Eau Gazeuse 50cl,12 DH
Eau Gaceuze 1L,18 DH
Eau Gazeuze Verre 75cl,22 DH
Boisson energetique,35 DH
Tiramisu,30 DH
Pana Cotta,25 DH
Salade Fruit,45 DH
Nougat Glacé,35 DH
Fondant Chocolat,35 DH
Soupe Vichamienne,40 DH
Soupe Royale,45 DH
Soupe Fruits de Mer,50 DH
Soupe Vervuicelle de Clinte,40 DH
Soupe Pekinoise,40 DH
Plat Asiatique Vegetarienne,60 DH
Plat Asiatique Poulet,70 DH
Plat Asiatique Booulé,75 DH
Plat Asiatique Fruit de Mer,80 DH
Plat Asiatique Mixte,80 DH
Plat Asiatique Creuettes,80 DH
Padthai Vegetarienne,60 DH
Padthai Poulet,70 DH
Padthai Boœuf,75 DH
Padthai Fruit de Mer,80 DH
Padthai Mixte,80 DH
Padthai Creveltes,80 DH
Vermicelle de Chine Vegetarienne,60 DH
Vermicelle de Chine Poulet,70 DH
Vermicelle de Chine Boœuf,75 DH
Vermicelle de Chine Fruit de Mer,80 DH
Vermicelle de Chine Mixte,80 DH
Vermicelle de Chine Creveltes,80 DH
Riz Cantonnais Vegetarienne,60 DH
Riz Cantonnais Poulet,70 DH
Riz Cantonnais Boœuf,75 DH
Riz Cantonnais Fruit de Mer,80 DH
Riz Cantonnais Mixte,80 DH
Riz Cantonnais Creveltes,80 DH
New Crevettes Pannes,40 DH
New Poulet,35 DH
Croquette Crabe,40 DH
Sushi Nigiri Saundin,30 DH
Sushi Nigiri Engai,30 DH
Sushi Nigiri Surimi,30 DH
Sushi Gunkan Crevette,45 DH
Sushi Gunkan Wakaïdé,45 DH
Sushi Tartar Ciboulette,60 DH
Sushi Tartar Säuïdin,70 DH
Sushi Teïdaki Sauïdin,40 DH
